I need to buy some fresh fruit.,Lifeinfo
I would like to go to supermarket.,Lifeinfo
Where is the bazaar?,Lifeinfo
Nearby boutique.,Lifeinfo
Show me the mart.,Lifeinfo
Fela store?,Lifeinfo
Where can I grab some food in hotel?,hotelinfo
Are there recommended restaurant inside the hotel?,hotelinfo
I want to go to gym in hotel.,hotelinfo
I'd like to have spa in hotel.,hotelinfo
Where is the bar in hotel,hotelinfo
Show me the club in hotel,hotelinfo
Where is the swimming pool in hotel,hotelinfo
where is the swimming pool.,hotelinfo
I would like to swim in hotel.,hotelinfo
Where is the suvenior store in hotel.,hotelinfo
show me the jewelry store inside the hotel.,hotelinfo
I want to drink in the hotel.,hotelinfo
I want to relax in the hotel.,hotelinfo
Help me relax in the hotel.,hotelinfo
I want to work out in hotel.,hotelinfo
I am so tired.,hotelinfo
I want to buy someing back for my family as suvenior.,hotelinfo
I would like some diamonds.,hotelinfo
I like to swim.,hotelinfo
Where can I swim?,hotelinfo
Is there a night club in hotel?,hotelinfo
Where can I find the bar in this hotel.,hotelinfo
Which floor does the bar located?,hotelinfo
Which floor does the club located?,hotelinfo
Which floor does the swimming pool located?,hotelinfo
Which floor does the restaurant located?,hotelinfo
Which floor does the survenior store located?,hotelinfo
On which floor is your gym located?,hotelinfo
On which floor is your restaurant located?,hotelinfo
On which floor is your swimming pool located?,hotelinfo
Show me the way to gym.,hotelinfo
Show me the path to jewelry store.,hotelinfo
Where can I find the restaurant inside the hotel?,hotelinfo
I want to eat sushi in hotel,hotelinfo
I would like to eat some beef noodle in hotel?,hotelinfo
food in hotel.,hotelinfo
plz tell me the nearest indian restaurant in hotel.,hotelinfo
Inform me the restaurant inside hotel.,hotelinfo
take me to the nearest restaurant in hotel.,hotelinfo
I would like some Taiwan cuisine in hotel.,hotelinfo
Give me something to eat in hotel.,hotelinfo
Where is the foooood in hotel!,hotelinfo
in the hotel,hotelinfo
please recommend some restaurants in the hotel,hotelinfo
Is there swimming pool in the hotel?,hotelinfo
is there any in-hotel service?,hotelinfo
when does the gym in the hotel close?,hotelinfo
spa in the hotel,hotelinfo
breakfast in the hotel,hotelinfo
in hotel,hotelinfo
hotel,hotelinfo
Would you plz tell me when does the shopping mall in this hotel open?,hotelinfo
Is there a Casino in the hotel?,hotelinfo
Show me some information of the services this hotel provides,hotelinfo
How can I find the swimming pool?,hotelinfo
Is ther any Cool things in the hotel?,hotelinfo
I want to know more about stores and service in your hotel,hotelinfo
tell me what you got in this hotel,hotelinfo
I don't want to go outside,hotelinfo
tell me your most famous service,hotelinfo
I want to stay in hotel,hotelinfo
I want to stay indoor,hotelinfo
Is there any food sold in the hotel?,hotelinfo
Room service,hotelinfo
service,hotelinfo
hotel,hotelinfo
inside,hotelinfo
Is late check out available?,check-out
Can I deposit the baggage?,check-out
At what time is check-out?,check-out
Is there any penalty for late check-out?,check-out
Do I have to pay extra fee for late check-out?,check-out
Can I have a late check-out reservation?,check-out
"I lost something at the hotel, can you help me find it?",check-out
What time should I check out by?,check-out
Can I store my bag?,check-out
Can I check out online?,check-out
Is it possible to check out late?,check-out
Can I check out after 12:00 pm?,check-out
Do you have early departure fee?,check-out
?I'd like to check out.,check-out
Do you accept the traveler's cheques?,check-out
"Could I get a receipt, please?",check-out
I'd like to leave a day early.,check-out
Can I stay another night?,check-out
Can I extend my reservation?,check-out
?I¡¦d like to move my check out date to the 24th.,check-out
Can I stay another night?,check-out
Do you accept traveler¡¦s checks?,check-out
Do you accept credit cards?,check-out
What is check out time?,check-out
Would it be possible to stay an extra night?,check-out
I¡¦d like to move my check out date to the next Monday.,check-out
When do I have to be out of the room by??,check-out
Is there a penalty for late checkout?,check-out
I?want to?deposit my bags.,check-out
Can I check out later?,check-out
I lose my room card.,check-out
I lose my room key.,check-out
I want to check out earlier.,check-out
Is there any extra fee to pay?,check-out
Can you call a taxi for me after I check out???,check-out
"Excuse me, would you please call a taxi for me??",check-out
Is there any shuttle bus to airport?,check-out
Is late check out allowed?,check-out
something is broken,other
what is the password of Wi-Fi?,other
any Wi-Fi availabble?,other
WIFI,other
wifi,other
break,other
broken,other
the curtain is broken,other
the faucet in the bathroom is broken,other
malfunction,other
the is no shampoo in the bathroom,other
the toilet is broken,other
the floor of my room is dirty,other
I don't have toiletries,other
there is no towel,other
can I ask for another quilt?,other
can I ask for another blanket?,other
the telephone is broken,other
the light is broken,other
the bulb is broken,other
the TV doesn't work,other
the hair dryer is broken,other
Do you have slippers?,other
the air-conditioner doesn't work in my room,other
the mirror is broken,other
I can't connect to the wi-fi,other
how can I access customer service?,other
the room card doesn't work well,other
your website crashes,other
crash,other
the door lock is broken.other
the door is broken,other
I can't lock the window,other
I lost the key,other
I lost the room card,other
